@epoch 221, train_loss : 785.004, dev_loss : 616.316, train_accuracy : 0.792, dev_accuracy : 0.5823
@epoch 222, train_loss : 531.674, dev_loss : 426.808, train_accuracy : 0.847, dev_accuracy : 0.7088
@epoch 223, train_loss : 814.225, dev_loss : 464.493, train_accuracy : 0.779, dev_accuracy : 0.6807
@epoch 224, train_loss : 961.049, dev_loss : 701.158, train_accuracy : 0.753, dev_accuracy : 0.5502
@epoch 225, train_loss : 537.079, dev_loss : 346.088, train_accuracy : 0.88, dev_accuracy : 0.7269
@epoch 226, train_loss : 1293.99, dev_loss : 655.571, train_accuracy : 0.71, dev_accuracy : 0.6546
@epoch 227, train_loss : 665.295, dev_loss : 388.48, train_accuracy : 0.886, dev_accuracy : 0.7209
@epoch 228, train_loss : 871.999, dev_loss : 740.639, train_accuracy : 0.761, dev_accuracy : 0.5562
@epoch 229, train_loss : 688.08, dev_loss : 487.437, train_accuracy : 0.781, dev_accuracy : 0.6787
@epoch 230, train_loss : 633.796, dev_loss : 407.857, train_accuracy : 0.816, dev_accuracy : 0.7068
@epoch 231, train_loss : 772.465, dev_loss : 608.356, train_accuracy : 0.791, dev_accuracy : 0.5803
@epoch 232, train_loss : 643.316, dev_loss : 403.89, train_accuracy : 0.84, dev_accuracy : 0.7068
@epoch 233, train_loss : 705.771, dev_loss : 433.791, train_accuracy : 0.789, dev_accuracy : 0.6847
@epoch 234, train_loss : 892.714, dev_loss : 690.398, train_accuracy : 0.781, dev_accuracy : 0.5783
@epoch 235, train_loss : 654.632, dev_loss : 521.036, train_accuracy : 0.888, dev_accuracy : 0.7229
@epoch 236, train_loss : 1026.56, dev_loss : 642.355, train_accuracy : 0.731, dev_accuracy : 0.6627
@epoch 237, train_loss : 671.53, dev_loss : 478.947, train_accuracy : 0.886, dev_accuracy : 0.6968
@epoch 238, train_loss : 716.814, dev_loss : 660.595, train_accuracy : 0.818, dev_accuracy : 0.6044
@epoch 239, train_loss : 736.454, dev_loss : 440.651, train_accuracy : 0.808, dev_accuracy : 0.6988
@epoch 240, train_loss : 608.618, dev_loss : 435.736, train_accuracy : 0.866, dev_accuracy : 0.7028
@epoch 241, train_loss : 1087.44, dev_loss : 868.398, train_accuracy : 0.718, dev_accuracy : 0.5141
@epoch 242, train_loss : 678.481, dev_loss : 412.449, train_accuracy : 0.804, dev_accuracy : 0.6968
@epoch 243, train_loss : 647.315, dev_loss : 418.409, train_accuracy : 0.805, dev_accuracy : 0.6988
@epoch 244, train_loss : 912.265, dev_loss : 743.154, train_accuracy : 0.762, dev_accuracy : 0.5522
@epoch 245, train_loss : 615.676, dev_loss : 425.745, train_accuracy : 0.894, dev_accuracy : 0.7309
@epoch 246, train_loss : 671.332, dev_loss : 475.931, train_accuracy : 0.798, dev_accuracy : 0.6888
@epoch 247, train_loss : 710.308, dev_loss : 507.914, train_accuracy : 0.86, dev_accuracy : 0.6647
@epoch 248, train_loss : 553.997, dev_loss : 465.489, train_accuracy : 0.888, dev_accuracy : 0.6968
@epoch 249, train_loss : 662.317, dev_loss : 476.074, train_accuracy : 0.793, dev_accuracy : 0.6787
@epoch 250, train_loss : 651.457, dev_loss : 505.834, train_accuracy : 0.847, dev_accuracy : 0.6386
@epoch 251, train_loss : 478.984, dev_loss : 377.25, train_accuracy : 0.89, dev_accuracy : 0.7088
@epoch 252, train_loss : 571.825, dev_loss : 377.98, train_accuracy : 0.838, dev_accuracy : 0.7108
@epoch 253, train_loss : 456.891, dev_loss : 390.929, train_accuracy : 0.897, dev_accuracy : 0.7209
@epoch 254, train_loss : 607.117, dev_loss : 496.613, train_accuracy : 0.86, dev_accuracy : 0.6606
@epoch 255, train_loss : 769.121, dev_loss : 561.095, train_accuracy : 0.768, dev_accuracy : 0.6787
